filename,avr,ut,exptime,observation,value,snr,rv,erv,hjd_obs
pepsib.20191024.005.dxt,avr,24/10/2019T06:08:03.6,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,78,6,13,2458780.7656259
pepsib.20191024.006.dxt,avr,24/10/2019T06:24:29.7,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,92,10,10,2458780.7770397
pepsib.20191024.007.dxt,avr,24/10/2019T06:40:55.0,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,90,5,10,2458780.7884443
pepsib.20191024.008.dxt,avr,24/10/2019T06:57:20.4,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,94,22,14,2458780.7998500
pepsib.20191024.009.dxt,avr,24/10/2019T07:13:45.8,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,92,4,14,2458780.8112557
pepsib.20191024.010.dxt,avr,24/10/2019T07:30:11.1,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,88,-3,15,2458780.8226602
pepsib.20191024.011.dxt,avr,24/10/2019T07:46:36.4,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,93,-1,14,2458780.8340648
pepsib.20191024.012.dxt,avr,24/10/2019T08:03:01.9,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,94,-22,14,2458780.8454716
pepsib.20191024.013.dxt,avr,24/10/2019T08:19:27.2,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,84,-51,16,2458780.8568761
pepsib.20191024.014.dxt,avr,24/10/2019T08:35:52.9,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,85,-82,16,2458780.8682853
pepsib.20191024.015.dxt,avr,24/10/2019T08:52:18.0,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,78,-82,17,2458780.8796875
pepsib.20191024.016.dxt,avr,24/10/2019T09:08:43.3,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,73,-91,19,2458780.8910921
pepsib.20191024.017.dxt,avr,24/10/2019T09:25:08.6,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,75,-126,19,2458780.9024966
pepsib.20191024.018.dxt,avr,24/10/2019T09:41:33.8,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,70,-174,21,2458780.9139000
pepsib.20191024.019.dxt,avr,24/10/2019T09:57:59.2,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,69,-203,21,2458780.9253057
pepsib.20191024.020.dxt,avr,24/10/2019T10:14:24.5,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,66,-88,23,2458780.9367102
pepsib.20191024.021.dxt,avr,24/10/2019T10:30:50.1,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,55,-202,31,2458780.9481182
pepsib.20191024.022.dxt,avr,24/10/2019T10:47:15.4,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,80,-136,17,2458780.9595227
pepsib.20191024.023.dxt,avr,24/10/2019T11:03:40.7,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,79,-152,17,2458780.9709273
pepsib.20191024.024.dxt,avr,24/10/2019T11:20:05.9,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,89,-141,15,2458780.9823307
pepsib.20191024.025.dxt,avr,24/10/2019T11:36:31.2,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,76,-169,19,2458780.9937352
pepsib.20191024.026.dxt,avr,24/10/2019T11:52:56.4,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,78,-135,18,2458781.0051386
pepsib.20191024.027.dxt,avr,24/10/2019T12:09:21.7,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,80,-155,17,2458781.0165431
pepsib.20191024.028.dxt,avr,24/10/2019T12:25:46.9,00:15:00.000,V1298 Tau  3: 4800 - 5441,200,77,-164,19,2458781.0279465
pepsir.20191024.005.dxt,avr,24/10/2019T06:08:03.6,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,136,49,14,2458780.7656259
pepsir.20191024.006.dxt,avr,24/10/2019T06:24:29.0,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,161,6,11,2458780.7770316
pepsir.20191024.007.dxt,avr,24/10/2019T06:40:54.2,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,158,-39,12,2458780.7884350
pepsir.20191024.008.dxt,avr,24/10/2019T06:57:19.4,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,164,-57,16,2458780.7998384
pepsir.20191024.009.dxt,avr,24/10/2019T07:13:44.5,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,160,-49,17,2458780.8112406
pepsir.20191024.010.dxt,avr,24/10/2019T07:30:09.6,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,152,-128,18,2458780.8226428
pepsir.20191024.011.dxt,avr,24/10/2019T07:46:34.9,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,160,-82,18,2458780.8340474
pepsir.20191024.012.dxt,avr,24/10/2019T08:03:00.4,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,160,-145,18,2458780.8454542
pepsir.20191024.013.dxt,avr,24/10/2019T08:19:25.6,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,144,-191,20,2458780.8568576
pepsir.20191024.014.dxt,avr,24/10/2019T08:35:50.7,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,146,-174,20,2458780.8682598
pepsir.20191024.015.dxt,avr,24/10/2019T08:52:16.0,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,134,-242,22,2458780.8796644
pepsir.20191024.016.dxt,avr,24/10/2019T09:08:41.3,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,126,-226,23,2458780.8910689
pepsir.20191024.017.dxt,avr,24/10/2019T09:25:06.4,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,128,-285,24,2458780.9024711
pepsir.20191024.018.dxt,avr,24/10/2019T09:41:31.9,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,119,-299,25,2458780.9138780
pepsir.20191024.019.dxt,avr,24/10/2019T09:57:57.1,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,117,-335,26,2458780.9252814
pepsir.20191024.020.dxt,avr,24/10/2019T10:14:22.2,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,112,-379,27,2458780.9366836
pepsir.20191024.021.dxt,avr,24/10/2019T10:30:47.5,00:15:00.000,V1298 Tau  5: 6278 - 7419,200, 93,-442,35,2458780.9480881
pepsir.20191024.022.dxt,avr,24/10/2019T10:47:12.8,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,137,-410,22,2458780.9594927
pepsir.20191024.023.dxt,avr,24/10/2019T11:03:38.1,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,135,-353,22,2458780.9708972
pepsir.20191024.024.dxt,avr,24/10/2019T11:20:03.4,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,152,-392,20,2458780.9823017
pepsir.20191024.025.dxt,avr,24/10/2019T11:36:28.7,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,130,-375,23,2458780.9937063
pepsir.20191024.026.dxt,avr,24/10/2019T11:52:54.1,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,134,-434,21,2458781.0051120
pepsir.20191024.027.dxt,avr,24/10/2019T12:09:19.3,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,138,-410,21,2458781.0165154
pepsir.20191024.028.dxt,avr,24/10/2019T12:25:44.4,00:15:00.000,V1298 Tau  5: 6278 - 7419,200,132,-479,22,2458781.0279175
